tiempo (us),v
0,0
5,0.0149
10,0.0299
15,0.0448
20,0.0598
25,0.0747
30,0.0897
35,0.1046
40,0.1196
45,0.1345
50,0.1495
55,0.1644
60,0.1794
65,0.1943
70,0.2093
75,0.2242
80,0.2392
85,0.2541
90,0.2691
95,0.284
100,0.299
105,0.3139
110,0.3289
115,0.3438
120,0.3588
125,0.3737
130,0.3887
135,0.4036
140,0.4186
145,0.4335
150,0.4485
155,0.4634
160,0.4784
165,0.4933
170,0.5083
175,0.5232
180,0.5382
185,0.5531
190,0.5681
195,0.583
200,0.598
205,0.583
210,0.5681
215,0.5531
220,0.5382
225,0.5232
230,0.5083
235,0.4933
240,0.4784
245,0.4634
250,0.4485
255,0.4335
260,0.4186
265,0.4036
270,0.3887
275,0.3737
280,0.3588
285,0.3438
290,0.3289
295,0.3139
300,0.299
305,0.284
310,0.2691
315,0.2541
320,0.2392
325,0.2242
330,0.2093
335,0.1943
340,0.1794
345,0.1644
350,0.1495
355,0.1345
360,0.1196
365,0.1046
370,0.0897
375,0.0747
380,0.0598
385,0.0448
390,0.0299
395,0.0149
400,0
