TIME    VP     VN    VAUXP[0]   VAUXN[0]   
1040  0.50  0.0  0.50  0 
2080  0.50  0.0  0.50  0 
3120  0.51  0.0  0.51  0 
4160  0.51  0.0  0.51  0 
5200  0.51  0.0  0.51  0 
6240  0.51  0.0  0.51  0 
7280  0.51  0.0  0.51  0 
8320  0.52  0.0  0.52  0 
10400 0.52  0.0  0.52  0  
11440 0.52  0.0  0.52  0  
12480 0.52  0.0  0.52  0  
13520 0.53  0.0  0.53  0  
14560 0.53  0.0  0.53  0  
15600 0.53  0.0  0.53  0  
16640 0.53  0.0  0.53  0  
17680 0.54  0.0  0.54  0  
18720 0.54  0.0  0.54  0  
19760 0.54  0.0  0.54  0  
20800 0.54  0.0  0.54  0  
21840 0.54  0.0  0.54  0  
22880 0.55  0.0  0.55  0  
23920 0.55  0.0  0.55  0  
24960 0.55  0.0  0.55  0  
26000 0.55  0.0  0.55  0  
27040 0.55  0.0  0.55  0  
28080 0.56  0.0  0.56  0  
29120 0.56  0.0  0.56  0  
30160 0.56  0.0  0.56  0  
31200 0.56  0.0  0.56  0  
32240 0.56  0.0  0.56  0  
33280 0.57  0.0  0.57  0  
34320 0.57  0.0  0.57  0  
35360 0.57  0.0  0.57  0  
36400 0.57  0.0  0.57  0  
37440 0.57  0.0  0.57  0  
38480 0.58  0.0  0.58  0  
39520 0.58  0.0  0.58  0  
40560 0.58  0.0  0.58  0  
41600 0.58  0.0  0.58  0  
42640 0.59  0.0  0.59  0  
43680 0.59  0.0  0.59  0  
44720 0.59  0.0  0.59  0  
45760 0.59  0.0  0.59  0  
46800 0.59  0.0  0.59  0  
47840 0.60  0.0  0.60  0  
48880 0.60  0.0  0.60  0  
49920 0.60  0.0  0.60  0  
50960 0.60  0.0  0.60  0  
52000 0.60  0.0  0.60  0  
53040 0.61  0.0  0.61  0  
54080 0.61  0.0  0.61  0  
55120 0.61  0.0  0.61  0  
56160 0.61  0.0  0.61  0  
57200 0.61  0.0  0.61  0  
58240 0.62  0.0  0.62  0  
59280 0.62  0.0  0.62  0  
60320 0.62  0.0  0.62  0  
61360 0.62  0.0  0.62  0  
62400 0.62  0.0  0.62  0  
63440 0.63  0.0  0.63  0  
64480 0.63  0.0  0.63  0  
65520 0.63  0.0  0.63  0  
66560 0.63  0.0  0.63  0  
67600 0.64  0.0  0.64  0  
68640 0.64  0.0  0.64  0  
69680 0.64  0.0  0.64  0  
70720 0.64  0.0  0.64  0  
71760 0.64  0.0  0.64  0  
72800 0.65  0.0  0.65  0  
73840 0.65  0.0  0.65  0  
74880 0.65  0.0  0.65  0  
75920 0.65  0.0  0.65  0  
76960 0.65  0.0  0.65  0  
78000 0.66  0.0  0.66  0  
79040 0.66  0.0  0.66  0  
80080 0.66  0.0  0.66  0  
81120 0.66  0.0  0.66  0  
82160 0.66  0.0  0.66  0  
83200 0.67  0.0  0.67  0  
84240 0.67  0.0  0.67  0  
85280 0.67  0.0  0.67  0  
86320 0.67  0.0  0.67  0  
87360 0.67  0.0  0.67  0  
88400 0.68  0.0  0.68  0  
89440 0.68  0.0  0.68  0  
90480 0.68  0.0  0.68  0  
91520 0.68  0.0  0.68  0  
92560 0.69  0.0  0.69  0  
93600 0.69  0.0  0.69  0  
94640 0.69  0.0  0.69  0  
95680 0.69  0.0  0.69  0  
96720 0.69  0.0  0.69  0  
97760 0.70  0.0  0.70  0  
98800 0.70  0.0  0.70  0  
99840 0.70  0.0  0.70  0  
100880 0.70  0.0  0.70  0  
101920 0.70  0.0  0.70  0  
102960 0.71  0.0  0.71  0  
104000 0.71  0.0  0.71  0  
105040 0.71  0.0  0.71  0  
106080 0.71  0.0  0.71  0  
107120 0.71  0.0  0.71  0  
108160 0.72  0.0  0.72  0  
109200 0.72  0.0  0.72  0  
110240 0.72  0.0  0.72  0  
111280 0.72  0.0  0.72  0  
112320 0.72  0.0  0.72  0  
113360 0.73  0.0  0.73  0  
114400 0.73  0.0  0.73  0  
115440 0.73  0.0  0.73  0  
116480 0.73  0.0  0.73  0  
117520 0.74  0.0  0.74  0  
118560 0.74  0.0  0.74  0  
119600 0.74  0.0  0.74  0  
120640 0.74  0.0  0.74  0  
121680 0.74  0.0  0.74  0  
122720 0.75  0.0  0.75  0  
123760 0.75  0.0  0.75  0  
124800 0.75  0.0  0.75  0  
125840 0.75  0.0  0.75  0  
126880 0.75  0.0  0.75  0  
127920 0.76  0.0  0.76  0  
128960 0.76  0.0  0.76  0  
130000 0.76  0.0  0.76  0  
131040 0.76  0.0  0.76  0  
132080 0.76  0.0  0.76  0  
133120 0.77  0.0  0.77  0  
134160 0.77  0.0  0.77  0  
135200 0.77  0.0  0.77  0  
136240 0.77  0.0  0.77  0  
137280 0.77  0.0  0.77  0  
138320 0.78  0.0  0.78  0  
139360 0.78  0.0  0.78  0  
140400 0.78  0.0  0.78  0  
141440 0.78  0.0  0.78  0  
142480 0.78  0.0  0.78  0  
143520 0.79  0.0  0.79  0  
144560 0.79  0.0  0.79  0  
145600 0.79  0.0  0.79  0  
146640 0.79  0.0  0.79  0  
147680 0.80  0.0  0.80  0  
148720 0.80  0.0  0.80  0  
149760 0.80  0.0  0.80  0  
150800 0.80  0.0  0.80  0  
151840 0.80  0.0  0.80  0  
152880 0.81  0.0  0.81  0  
153920 0.81  0.0  0.81  0  
154960 0.81  0.0  0.81  0  
156000 0.81  0.0  0.81  0  
157040 0.81  0.0  0.81  0  
158080 0.82  0.0  0.82  0  
159120 0.82  0.0  0.82  0  
160160 0.82  0.0  0.82  0  
161200 0.82  0.0  0.82  0  
162240 0.82  0.0  0.82  0  
163280 0.83  0.0  0.83  0  
164320 0.83  0.0  0.83  0  
165360 0.83  0.0  0.83  0  
166400 0.83  0.0  0.83  0  
167440 0.83  0.0  0.83  0  
168480 0.84  0.0  0.84  0  
169520 0.84  0.0  0.84  0  
170560 0.84  0.0  0.84  0  
171600 0.84  0.0  0.84  0  
172640 0.85  0.0  0.85  0  
173680 0.85  0.0  0.85  0  
174720 0.85  0.0  0.85  0  
175760 0.85  0.0  0.85  0  
176800 0.85  0.0  0.85  0  
177840 0.86  0.0  0.86  0  
178880 0.86  0.0  0.86  0  
179920 0.86  0.0  0.86  0  
180960 0.86  0.0  0.86  0  
