TIME  VP  VN
0  0  0
5000  0.0149  0
5005  0.0299  0
5010  0.0448  0
5015  0.0598  0
5020  0.0747  0
5025  0.0897  0
5030  0.1046  0
5035  0.1196  0
5040  0.1345  0
5045  0.1495  0
5050  0.1644  0
5055  0.1794  0
5060  0.1943  0
5065  0.2093  0
5070  0.2242  0
5075  0.2392  0
5080  0.2541  0
5085  0.2691  0
5090  0.284  0
5095  0.299  0
5100  0.3139  0
5105  0.3289  0
5110  0.3438  0
5115  0.3588  0
5120  0.3737  0
5125  0.3887  0
5130  0.4036  0
5135  0.4186  0
5140  0.4335  0
5145  0.4485  0
5150  0.4634  0
5155  0.4784  0
5160  0.4933  0
5165  0.5083  0
5170  0.5232  0
5175  0.5382  0
5180  0.5531  0
5185  0.5681  0
5190  0.583  0
5195  0.598  0
5200  0.583  0
5205  0.5681  0
5210  0.5531  0
5215  0.5382  0
5220  0.5232  0
5225  0.5083  0
5230  0.4933  0
5235  0.4784  0
5240  0.4634  0
5245  0.4485  0
5250  0.4335  0
5255  0.4186  0
5260  0.4036  0
5265  0.3887  0
5270  0.3737  0
5275  0.3588  0
5280  0.3438  0
5285  0.3289  0
5290  0.3139  0
5295  0.299  0
5300  0.284  0
5305  0.2691  0
5310  0.2541  0
5315  0.2392  0
5320  0.2242  0
5325  0.2093  0
5330  0.1943  0
5335  0.1794  0
5340  0.1644  0
5345  0.1495  0
5350  0.1345  0
5355  0.1196  0
5360  0.1046  0
5365  0.0897  0
5370  0.0747  0
5375  0.0598  0
5380  0.0448  0
5385  0.0299  0
5390  0.0149  0
5395  0  0
5400  0.0149  0
5405  0.0299  0
5410  0.0448  0
5415  0.0598  0
5420  0.0747  0
5425  0.0897  0
5430  0.1046  0
5435  0.1196  0
5440  0.1345  0
5445  0.1495  0
5450  0.1644  0
5455  0.1794  0
5460  0.1943  0
5465  0.2093  0
5470  0.2242  0
5475  0.2392  0
5480  0.2541  0
5485  0.2691  0
5490  0.284  0
5495  0.299  0
5500  0.3139  0
5505  0.3289  0
5510  0.3438  0
5515  0.3588  0
5520  0.3737  0
5525  0.3887  0
5530  0.4036  0
5535  0.4186  0
5540  0.4335  0
5545  0.4485  0
5550  0.4634  0
5555  0.4784  0
5560  0.4933  0
5565  0.5083  0
5570  0.5232  0
5575  0.5382  0
5580  0.5531  0
5585  0.5681  0
5590  0.583  0
5595  0.598  0
5600  0.583  0
5605  0.5681  0
5610  0.5531  0
5615  0.5382  0
5620  0.5232  0
5625  0.5083  0
5630  0.4933  0
5635  0.4784  0
5640  0.4634  0
5645  0.4485  0
5650  0.4335  0
5655  0.4186  0
5660  0.4036  0
5665  0.3887  0
5670  0.3737  0
5675  0.3588  0
5680  0.3438  0
5685  0.3289  0
5690  0.3139  0
5695  0.299  0
